aardwolf aardwolves
abatis abattises
abatis abatis
abbey abbeys
abomasum abomasa
abscissa abscissae
accelerando accelerandi
accountancy accountancys
accuracy accuracys
acetabulum acetabula
acinus acini
acromegaly acromegalys
actinia actiniae
acuity acuitys
addax addaxs
addendum addenda
adenoma adenomata
adieu adieux
adman admen
adultery adulterys
advocacy advocacys
adytum adyta
aerobiology aerobiologys
aerology aerologys
aeronomy aeronomys
aetiology aetiologys
affix affixs
afflux affluxs
affray affrays
agronomy agronomys
aide-de-camp aides-de-camp
aide-mmoire aides-mmoire
aircraft aircraft
aircraftman aircraftmen
aircraftwoman aircraftwomen
aircrew aircrew
airman airmen
airplay airplays
airway airways
airwoman airwomen
alacrity alacritys
alderman aldermen
alewife alewives
alga algae
algology algologys
alimony alimonys
allantois allantoides
alley alleys
allogamy allogamys
allopathy allopathys
allotropy allotropys
alloy alloys
alluvium alluvia
altocumulus altocumuli
altostratus altostrati
alumnus alumnae
alumnus alumna
alumnus alumni
alveolus alveoli
amanuensis amanuenses
ambo ambones
ament amenta
amity amitys
amniocentesis amniocenteses
amnion amnia
amoretto amoretti
amphora amphorae
ampulla ampullae
anabiosis anabioses
anacoluthon anacolutha
anacrusis anacruses
analysis analyses
anamnesis anamneses
anaphylaxis anaphylaxes
anaptyxis anaptyxes
anarchy anarchys
anastomosis anastomoses
anchorman anchormen
ancon ancones
androecium androecia
androgyny androgynys
anemometry anemometrys
anfractuosity anfractuositys
angary angarys
angioma angiomata
animality animalitys
annulus annuli
anomy anomys
antenna antennae
antependium antependia
anthelion anthelia
anthemion anthemia
antheridium antheridia
anthrax anthraxs
anthropogeny anthropogenys
anthropology anthropologys
anthropometry anthropometrys
anthroponymy anthroponymys
anthropophagy anthropophagys
anticlimax anticlimaxs
anti-gravity anti-gravitys
anti-hero anti-heroes
antimony antimonys
antipasto antipasti
antiserum antisera
antithesis antitheses
antrum antra
anybody anybodys
apathy apathys
Apex Apexs
apex apices
aphaeresis aphaereses
aphelion aphelia
aphesis apheses
aphis aphides
apodosis apodoses
apomixis apomixes
apoplexy apoplexys
apotheosis apotheoses
apparatchik apparatchiki
appendix appendices
apsis apsides
apteryx apteryxs
aquarium aquaria
Araby Arabys
arboretum arboreta
Arcady Arcadys
arcanum arcana
archaeology archaeologys
archaeopteryx archaeopteryxs
archegonium archegonia
archery archerys
archipelago archipelagoes
archway archways
areaway areaways
areola areolae
argali argali
Aries Aries
armamentarium armamentaria
armoury armourys
aromatherapy aromatherapys
array arrays
artilleryman artillerymen
as asses
ascendancy ascendancys
ascites ascites
Ashkenazi Ashkenazim
ashtray ashtrays
assay assays
Assyriology Assyriologys
astragalus astragali
astrochemistry astrochemistrys
astrology astrologys
astronomy astronomys
asymmetry asymmetrys
asyndeton asyndeta
ataraxy ataraxys
ataxy ataxys
atomicity atomicitys
atrium atria
atrophy atrophys
attorney attorneys
audiology audiologys
auditorium auditoria
aura aurae
aurochs aurochs
aurora aurorae
autobahn autobahnen
autochthon autochthones
autogamy autogamys
autography autographys
automaton automata
autostrada autostrade
autotomy autotomys
away aways
axilla axillae
Aylesbury Aylesburys
bacchant bacchante,bacchants
bacchant bacchantes
bacillus bacilli
backstay backstays
backwoodsman backwoodsmen
bacteriology bacteriologys
bacterium bacteria
bagman bagmen
bailey baileys
bailsman bailsmen
bain-marie bains-marie
baldmoney baldmoneys
Balinese Balinese
balladry balladrys
ballboy ballboys
ballista ballistae
balneology balneologys
bambino bambini
bandbox bandboxs
bandeau bandeaux
bandit banditti
bandsman bandsmen
banjo banjoes
barley barleys
barman barmen
barney barneys
barratry barratrys
baseman basemen
basicity basicitys
basidium basidia
basketry basketrys
basso bassi
bateau bateaux
batman batmen
batsman batsmen
batwoman batwomen
bawdy bawdys
bay bays
beadsman beadsmen
beau beaux
bche-de-mer bches-de-mer
beechmast beechmast
beef beeves
beef beefs,beefs
beeswax beeswaxs
beggary beggarys
belay belays
bellboy bellboys
bellman bellmen
beltman beltmen
Benelux Beneluxs
betony betonys
bey beys
bibliomancy bibliomancys
biennium biennia
bijou bijoux
bilbo bilboes
billet-doux billets-doux
bimbo bimboes
binman binmen
biochemistry biochemistrys
biogeography biogeographys
biology biologys
biometry biometrys
biotechnology biotechnologys
birthday birthdays
bison bison
blackboy blackboys
